,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,37000,North Carolina,5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,11071480,11065438,11308827,12219197,13288526,15137167,16611080,17765979,16867932,17697098,19075492,20533886,20775578,22531560,24277830,25411626,27487156,30568442,32083588
1,37001,"Alamance, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,99232,100327,91679,87655,83428,90936,98677,106967,108698,95183,102044,105413,104628,104739,114215,121724,134005,141696,159724
2,37003,"Alexander, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,8905,10293,10038,9726,10866,12792,15031,15893,15432,17715,20246,20858,21489,22244,(D),(D),(D),(D),9920
3,37005,"Alleghany, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,1335,1749,1970,2440,2742,2944,3711,4757,3882,(D),4264,3670,(D),(D),(D),3820,4104,4693,4547
4,37007,"Anson, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
5,37009,"Ashe, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,7227,5774,7364,8200,(D),8099,8193,9094,8087,(D),(D),(D),(D),(D),(D),(D),(D),9123,(D)
6,37011,"Avery, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
7,37013,"Beaufort, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26703,29033,27655,28497,33736,34807,29246,22559,24532
8,37015,"Bertie, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,3463,2668,2703,3109,2182,2296,2648,3042,2687,2310,2629,2563,2299,1758,(D),(D),(D),(D),(D)
9,37017,"Bladen, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,8277,(D),(D),9645,9595,11154,11037,11850,11617,11456,12098,10562,9153,10581,11616,9853,10469,(D),(D)
10,37019,"Brunswick, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,58837,51922,54170,52524,60596,71794,74770,78708,77529,89742,93281,99944,110705,(D),(D),128891,120276,121299,(D)
11,37021,"Buncombe, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,241196,258648,272942,300764,332849,379819,427382,423449,350719,322963,380077,465097,480470,548016,537276,618098,589565,629351,679310
12,37023,"Burke, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,29960,30752,29160,29758,30501,33281,32296,32818,30547,31433,35747,35163,33055,33852,37804,39130,41151,43806,43190
13,37025,"Cabarrus, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,93562,106625,114877,126693,143113,160754,169269,190284,178812,180625,179964,137467,132507,139552,159213,180073,194406,205094,230199
14,37027,"Caldwell, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,(D),(D),(D),(D),(D),24195,25430,27418,24449,23506,(D),23139,23656,24519,25903,28390,30424,34294,43718
15,37029,"Camden, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,2355,2576,2566,2987,3134,4210,4654,9457,(D),9165,11088,9824,11576,11226,10594,6376,6801,5438,4531
16,37031,"Carteret, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,39902,41838,44881,42121,43124,49451,52630,59950,58492,63969,58138,56260,52328,53856,60486,63126,63614,66445,76342
17,37033,"Caswell, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,(D),3733,3805,(D),3715,3743,3781,4432,4359,4704,4577,4444,4456,4822,5151,4770,4980,6049,5797
18,37035,"Catawba, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,90266,97471,94336,104872,105295,117691,123906,136842,127792,135287,167537,170389,167445,182003,195849,205237,236104,254050,267378
19,37037,"Chatham, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,(D),(D),44084,47609,55601,63699,68932,73553,69250,71792,73488,(D),89324,92376,89123,94296,102873,108553,109998
20,37039,"Cherokee, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,10629,8530,7160,6795,7232,8157,10327,21423,21838,24396,26272,27482,28120,28612,28753,27642,30821,32957,37193
21,37041,"Chowan, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,5267,6652,6330,7137,7244,6858,7947,9121,9065,9068,9459,10470,12266,13511,14494,14163,15144,17461,17025
22,37043,"Clay, NC",5.0,CAINC5N,1200.0,54,"   Professional, scientific, and technical services",Thousands of dollars,2703,2530,3007,3282,4192,5005,4416,4926,4028,4019,3708,4047,3716,3752,3145,3272,2929,3204,3415
